date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:06	93609/93609	---M--	200	added ('OK')	image/jpeg	etag:%22v1cf%22	http://4.bp.blogspot.com/-NJtR_HAixq4/VCIqV4hTZRI/AAAAAAAAAc4/bCzzE6C9VTc/s1600/_MG_0387.jpg	D:/My%20Web%20Sites/wedding%20storyz/4.bp.blogspot.com/-NJtR_HAixq4/VCIqV4hTZRI/AAAAAAAAAc4/bCzzE6C9VTc/s1600/_MG_0387.jpg	(from http://www.weddingstoryz.com/)
18:24:06	103160/103160	---M-Z	200	added ('OK')	text/html	etag:%22a52f51f9-c301-498f-8530-08e552c0c400%22	http://www.weddingstoryz.com/2014/09/catholic-christian-goa-mumbai-wedding-ideas.html	D:/My%20Web%20Sites/wedding%20storyz/www.weddingstoryz.com/2014/09/catholic-christian-goa-mumbai-wedding-ideas.html	(from http://www.weddingstoryz.com/)
18:24:08	293/293	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:08%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=9052796530488379057&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post090f.g	(from http://www.weddingstoryz.com/)
18:24:09	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:09%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=9052796530488379057&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postde76.g	(from http://www.weddingstoryz.com/)
18:24:10	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:11%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=9052796530488379057&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post2366.g	(from http://www.weddingstoryz.com/)
18:24:11	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:12%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=9052796530488379057&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post2b90.g	(from http://www.weddingstoryz.com/)
18:24:12	297/297	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:13%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=9052796530488379057&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post318b.g	(from http://www.weddingstoryz.com/)
18:24:14	291/291	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:14%20GMT	http://www.blogger.com/post-edit.g?blogID=8182335901919555726&postID=9052796530488379057&from=pencil	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/post-edita86b.g	(from http://www.weddingstoryz.com/)
18:24:15	93443/93443	---M-Z	200	added ('OK')	text/html	etag:%22a52f51f9-c301-498f-8530-08e552c0c400%22	http://www.weddingstoryz.com/2014/09/how-indian-wedding-led-to-another-wedding.html	D:/My%20Web%20Sites/wedding%20storyz/www.weddingstoryz.com/2014/09/how-indian-wedding-led-to-another-wedding.html	(from http://www.weddingstoryz.com/)
18:24:16	99806/99806	---M--	200	added ('OK')	image/jpeg	etag:%22v1a2%22	http://3.bp.blogspot.com/-Xei1Ajoq3iA/VBn8agYlLRI/AAAAAAAAAaE/_cIdwHR-M9s/s1600/10608973_10152200206242714_155077351_n.jpg	D:/My%20Web%20Sites/wedding%20storyz/3.bp.blogspot.com/-Xei1Ajoq3iA/VBn8agYlLRI/AAAAAAAAAaE/_cIdwHR-M9s/s1600/10608973_10152200206242714_155077351_n.jpg	(from http://www.weddingstoryz.com/)
18:24:16	307317/307317	---M--	200	added ('OK')	image/jpeg	etag:%22v1f3%22	http://1.bp.blogspot.com/-4lFXKVbBPhI/VFriSxkOc3I/AAAAAAAAAfI/edu9uT8q6Fc/s1600/IMG_3900.jpg	D:/My%20Web%20Sites/wedding%20storyz/1.bp.blogspot.com/-4lFXKVbBPhI/VFriSxkOc3I/AAAAAAAAAfI/edu9uT8q6Fc/s1600/IMG_3900.jpg	(from http://www.weddingstoryz.com/)
18:24:17	293/293	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:17%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=2935746605022142446&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post7834.g	(from http://www.weddingstoryz.com/)
18:24:17	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:18%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=2935746605022142446&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post6ab8.g	(from http://www.weddingstoryz.com/)
18:24:18	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:19%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=2935746605022142446&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post6ec1.g	(from http://www.weddingstoryz.com/)
18:24:19	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:19%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=2935746605022142446&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postd1b9.g	(from http://www.weddingstoryz.com/)
18:24:19	297/297	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:54:20%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=2935746605022142446&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post390d.g	(from http://www.weddingstoryz.com/)
